final_rank,score,raw_score,상품코드,상품명,인물,출판사,중복횟수,순위,출처파일
75,0.06666666666666667,0.06666666666666667,9791199757684,우리는 가장 밝은 밤에 헤어졌다,표도르 도스토옙스키,윌마,1,15,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
76,0.06666666666666667,0.06666666666666667,9791173323188,멜론은 어쩌다,아밀,비채,1,15,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (44).xlsx
77,0.0625,0.0625,9791169085366,빛의 조각들,연여름,오리지널스,1,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (43).xlsx
78,0.0625,0.0625,9788970134796,은하수를 여행하는 히치하이커를 위한 안내서 1,더글러스 애덤스,책세상,1,16,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (25).xlsx
79,0.058823529411764705,0.058823529411764705,9788965234555,지워진 대한제국 황후,권현숙,기파랑,1,17,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (24).xlsx
80,0.058823529411764705,0.058823529411764705,9791141602024,제16회 젊은작가상 수상작품집(2025),백온유 외,문학동네,1,17,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (61).xlsx
81,0.05555555555555555,0.05555555555555555,9791124575178,달러구트 꿈 백화점 0,이미예,팩토리나인,1,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (14).xlsx
82,0.05555555555555555,0.05555555555555555,9791130676029,김약국의 딸들(한국문학의 거장 박경리 탄생 100주년 기념 특별판),박경리,다산책방,1,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (21).xlsx
83,0.05555555555555555,0.05555555555555555,9788970135472,은하수를 여행하는 히치하이커를 위한 안내서(합본),더글러스 애덤스,책세상,1,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (20).xlsx
84,0.05555555555555555,0.05555555555555555,9791162203620,파과,구병모,위즈덤하우스,1,18,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (61).xlsx
85,0.05263157894736842,0.05263157894736842,9791194996057,30/3 김영하 30주년 기념 도서 세트,김영하,복복서가,1,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (41).xlsx
86,0.05263157894736842,0.05263157894736842,9791194368427,연희동 러너,임지형,상상스퀘어,1,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (52).xlsx
87,0.05263157894736842,0.05263157894736842,9791130642574,작은 땅의 야수들(백호 에디션),김주혜,다산책방,1,19,../data/raw/top-list\교보문고_종합_베스트셀러_상품리스트 (61).xlsx
